employee_id,attendance_percentage,overtime_hours,work_mode
1001,77,18,Hybrid
1002,93,8,Office
1003,78,11,Hybrid
1004,76,21,Office
1005,81,21,Hybrid
1006,85,26,Office
1007,87,28,Remote
1008,87,11,Office
1009,87,19,Hybrid
1010,88,5,Hybrid
1011,86,24,Office
1012,93,30,Office
1013,88,30,Office
1014,85,0,Remote
1015,77,16,Office
1016,100,13,Office
1017,98,10,Office
1018,100,27,Remote
1019,76,5,Hybrid
1020,81,30,Office
1021,77,19,Office
1022,97,10,Office
1023,93,3,Office
1024,92,22,Hybrid
1025,84,19,Office
1026,99,4,Remote
1027,93,17,Office
1028,88,19,Remote
1029,98,25,Office
1030,100,27,Office
1031,91,12,Remote
1032,86,23,Hybrid
1033,100,17,Remote
1034,96,13,Hybrid
1035,92,26,Office
1036,80,21,Office
1037,90,19,Office
1038,82,5,Remote
1039,85,30,Hybrid
1040,83,24,Remote
1041,77,4,Office
1042,76,6,Hybrid
1043,92,23,Remote
1044,96,21,Hybrid
1045,79,27,Hybrid
1046,83,26,Office
1047,94,4,Office
1048,98,22,Office
1049,95,7,Office
1050,85,0,Hybrid
1051,94,25,Remote
1052,93,19,Remote
1053,94,22,Hybrid
1054,90,14,Office
1055,88,23,Remote
1056,99,22,Office
1057,82,11,Office
1058,78,27,Office
1059,90,2,Remote
1060,82,24,Remote
1061,95,6,Hybrid
1062,76,7,Hybrid
1063,82,20,Office
1064,97,9,Remote
1065,75,2,Office
1066,88,20,Hybrid
1067,90,9,Remote
1068,91,26,Office
1069,83,17,Office
1070,75,17,Hybrid
1071,88,26,Hybrid
1072,85,29,Remote
1073,90,11,Hybrid
1074,76,10,Remote
1075,78,16,Hybrid
1076,87,20,Office
1077,96,29,Hybrid
1078,85,25,Office
1079,87,19,Remote
1080,84,21,Remote
1081,81,12,Hybrid
1082,96,24,Remote
1083,83,21,Remote
1084,85,23,Hybrid
1085,100,9,Remote
1086,75,8,Remote
1087,92,10,Remote
1088,90,3,Office
1089,79,28,Hybrid
1090,78,21,Hybrid
1091,81,20,Remote
1092,99,4,Remote
1093,100,25,Office
1094,99,11,Remote
1095,87,13,Remote
1096,94,20,Remote
1097,78,27,Remote
1098,78,10,Hybrid
1099,78,23,Remote
1100,96,30,Hybrid
