employee_id,attrition,attrition_reason
1001,Yes,Career Change
1002,Yes,Relocation
1003,No,
1004,Yes,Better Opportunity
1005,No,
1006,No,
1007,No,
1008,No,
1009,Yes,Relocation
1010,No,
1011,Yes,Low Salary
1012,Yes,Low Salary
1013,No,
1014,Yes,Better Opportunity
1015,Yes,Work Pressure
1016,No,
1017,No,
1018,Yes,Relocation
1019,No,
1020,No,
1021,Yes,Low Salary
1022,No,
1023,No,
1024,Yes,Relocation
1025,No,
1026,Yes,Work Pressure
1027,Yes,Work Pressure
1028,No,
1029,No,
1030,No,
1031,No,
1032,No,
1033,No,
1034,No,
1035,No,
1036,No,
1037,Yes,Low Salary
1038,Yes,Relocation
1039,No,
1040,No,
1041,No,
1042,No,
1043,No,
1044,No,
1045,No,
1046,No,
1047,Yes,Better Opportunity
1048,No,
1049,No,
1050,No,
1051,No,
1052,No,
1053,No,
1054,No,
1055,No,
1056,Yes,Career Change
1057,Yes,Work Pressure
1058,No,
1059,Yes,Relocation
1060,No,
1061,Yes,Low Salary
1062,No,
1063,No,
1064,No,
1065,No,
1066,No,
1067,No,
1068,No,
1069,Yes,Low Salary
1070,No,
1071,No,
1072,No,
1073,No,
1074,Yes,Relocation
1075,No,
1076,No,
1077,No,
1078,Yes,Better Opportunity
1079,Yes,Career Change
1080,Yes,Relocation
1081,No,
1082,No,
1083,Yes,Career Change
1084,No,
1085,No,
1086,Yes,Relocation
1087,No,
1088,No,
1089,No,
1090,No,
1091,No,
1092,Yes,Work Pressure
1093,No,
1094,No,
1095,No,
1096,No,
1097,No,
1098,No,
1099,No,
1100,No,
