employee_id,trainings_completed,training_hours
1001,0,1
1002,2,44
1003,4,51
1004,4,5
1005,1,38
1006,3,52
1007,7,9
1008,2,32
1009,8,16
1010,0,46
1011,8,49
1012,1,46
1013,8,48
1014,8,14
1015,4,42
1016,1,6
1017,3,12
1018,1,3
1019,0,24
1020,8,3
1021,3,25
1022,4,25
1023,8,13
1024,8,0
1025,5,13
1026,4,10
1027,6,8
1028,2,59
1029,4,10
1030,3,1
1031,8,21
1032,6,38
1033,3,23
1034,6,44
1035,4,18
1036,4,32
1037,7,26
1038,8,29
1039,8,27
1040,7,40
1041,3,24
1042,6,57
1043,8,51
1044,2,53
1045,2,3
1046,7,1
1047,2,30
1048,2,19
1049,4,54
1050,7,6
1051,7,29
1052,6,21
1053,8,0
1054,1,18
1055,5,22
1056,3,13
1057,4,0
1058,4,30
1059,0,9
1060,6,28
1061,1,10
1062,4,44
1063,4,52
1064,6,60
1065,0,48
1066,1,30
1067,6,52
1068,8,29
1069,4,28
1070,1,14
1071,7,15
1072,4,52
1073,8,48
1074,7,45
1075,0,46
1076,5,54
1077,3,47
1078,4,22
1079,3,31
1080,2,4
1081,1,15
1082,0,58
1083,2,40
1084,2,12
1085,5,51
1086,1,29
1087,3,41
1088,3,56
1089,1,53
1090,8,57
1091,0,3
1092,0,17
1093,5,1
1094,1,28
1095,1,31
1096,8,45
1097,8,46
1098,5,42
1099,5,51
1100,0,18
